Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Povenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Batista family at the table			Estudios Capri			Batista y Zaldívar, Fulgencio, 1901-1973 -- Family	Group portraits		ca. 1960-1969			1 b&w photograph			University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: H. Photographs - The Batista Family. Sub-sub-series: 4. Military Officials.	Box No.: 5, Folder Title: Family Groups.									Image					chc51550010080001001		13887.934 KB	4344	3168	0x844E0895	RGB	24 Bit-depth	600 dpi	chc51550010080001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/0	0	464.jp2	/chc5155/image/464.jp2
Letter: Estoril, [Portugal], December 19, 1961: Gardner, Arthur: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1961-12-19				English		University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: B. Correspondents E-L.	Box No.: 2, Folder Title: Gardner, Arthur: Correspondence from Fulgencio Batista.									Text					chc51550003230001001		34610.893 KB	5288	6728	0x70140FB5	RGB	24 Bit-depth	600 dpi	chc51550003230001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/1	1	152.jp2	/chc5155/image/152.jp2
Fulgencio Batista with friends including Bobby Hernández and Edmund Chester in Kuquine, Cuba						Batista y Zaldivar, Fulgencio, 1901-1973<br>Hernández, Bobby<br>Chester, Edmund A.<br>Kuquine (Cuba)	Group portraits		ca. 1953			1 b&w photograph			University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: F. Photographs - Batista Zaldívar, Fulgencio. Sub-sub-series: 4. Military Officials.	Box No.: 5, Folder Title: Batista Y Zaldívar, Fulgencio: Groups.									Image					chc51550009640001001		5195.608 KB	6392	5175	0xE166B801	RGB	24 Bit-depth	600 dpi	chc51550009640001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/2	2	434.jp2	/chc5155/image/434.jp2
Letter: New York, New York, September 14, 1971: Márquez-Sterling, Carlos: Correspondence to Fulgencio Batista							Correspondence		1971-09-14						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: C. Correspondents M-Q.	Box No.: 2, Folder Title: Márquez-Sterling, Carlos: Correspondence to Fulgencio Batista.									Text					chc51550004950001001		32575.449 KB	5240	6824	0xBC0F9249	RGB	24 Bit-depth	600 dpi	chc51550004950001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/3	3	224.jp2	/chc5155/image/224.jp2
Letter: Miami Beach, Florida, August 16, 1972: Fernández Miranda, Roberto: Correspondence to Fulgencio Batista							Correspondence		1972-08-16						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: B. Correspondents E-L.	Box No.: 2, Folder Title: Fernández Miranda, Roberto: Correspondence to Fulgencio Batista.									Text					chc51550002890001001		37077.299 KB	5448	6904	0xCC0AEDFC	RGB	24 Bit-depth	600 dpi	chc51550002890001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/4	4	137.jp2	/chc5155/image/137.jp2
Letter to Manuel Atorresagasti, Funchal [Portugal], October 2, 1959: Atorresagasti García, Manuel: Clippings, Correspondence by others		Batista, Rubén					Correspondence		1959-10-02						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: A. Correspondents A-D.	Box No.: 1, Folder Title: Atorresagasti García, Manuel: Clippings, Correspondence by others.									Text					chc51550000570001001		26900.132 KB	4528	6816	0x5C6F46E7	RGB	24 Bit-depth	600 dpi	chc51550000570001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/5	5	22.jp2	/chc5155/image/22.jp2
Letter: Estoril, [Portugal], October 23, 1972: Márquez-Sterling, Carlos: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1972-10-23						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: C. Correspondents M-Q.	Box No.: 2, Folder Title: Márquez-Sterling, Carlos: Correspondence from Fulgencio Batista.									Text					chc51550004730001001		31891.85 KB	5120	6776	0x38605881	RGB	24 Bit-depth	600 dpi	chc51550004730001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/6	6	214.jp2	/chc5155/image/214.jp2
Fulgencio Batista toasts with visitors at the Palace			Cuba. Dirección General. Oficina de Publicidad e Información			Batista y Zaldivar, Fulgencio, 1901-1973	Group portraits		ca 1955-1958			1 b&w photograph			University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: F. Photographs - Batista Zaldívar, Fulgencio. Sub-sub-series: 4. Military Officials.	Box No.: 5, Folder Title: Batista Y Zaldívar, Fulgencio: Groups.									Image					chc51550009610001001		33125.365 KB	6328	5216	0x8F65C1FF	RGB	24 Bit-depth	600 dpi	chc51550009610001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/7	7	432.jp2	/chc5155/image/432.jp2
Memorandum: [Funchal, Portugal], November 19, 1967: Pizzi de Porras, Enrique: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Memorandums		1967-11-19						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: C. Correspondents M-Q.	Box No.: 3, Folder Title: Pizzi de Porras, Enrique: Correspondence from Fulgencio Batista.									Text					chc51550006020001001		35890.54 KB	5272	7280	0x89D6F364	RGB	24 Bit-depth	600 dpi	chc51550006020001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/8	8	257.jp2	/chc5155/image/257.jp2
Una de las claves usadas por José Martí para comunicarse con Juan Gualberto Gómez: Alonso Pujol, Guillermo: Correspondence to Fulgencio Batista							Ciphers								University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: A. Correspondents A-D.	Box No.: 1, Folder Title: Alonso Pujol, Guillermo: Correspondence to Fulgencio Batista.									Text					chc51550000380001001		10364.446 KB	2688	3752	0xFF13F4E4	RGB	24 Bit-depth	600 dpi	chc51550000380001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/9	9	14.jp2	/chc5155/image/14.jp2
