Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Digital ID	Date Digital	Hardware	Software	Directory	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Vapor mercante	Merchant ship				Written on front: Vapor mercante Rapido en el cual hicimos el viaje el fotógrafo y __Principal ____ ___ muchas de estas vistas																	axr					chc5252000045		chc52520000450001001					image/tiff	149331856 Bytes	8098	6146	1201614125	RGB	8	600	chc52520000450001001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1041	1041	1042.jp2	/chc5252/image/1042.jp2
View of El Morro castle in Havana					Written on front: "Morro de La Habana vista tomada desde la cabaña"																	axr					chc5252000045		chc52520000450002001					image/tiff	148942248 Bytes	8115	6117	3566059361	RGB	8	600	chc52520000450002001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1042	1042	1043.jp2	/chc5252/image/1043.jp2
View of El Morro castle in Havana					Written on front: "Morro de La Habana, vista tomada desde el Percante"																						chc5252000045		chc52520000450003001					image/tiff	149227048 Bytes	8120	6125	3158147299	RGB	8	600	chc52520000450003001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1043	1043	1044.jp2	/chc5252/image/1044.jp2
View of El Morro castle in Havana					Written on front: "Morro de La Habana vista tomada desde la punta"																	axr					chc5252000045		chc52520000450004001					image/tiff	147107448 Bytes	6089	8052	668015435	RGB	8	600	chc52520000450004001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1044	1044	1045.jp2	/chc5252/image/1045.jp2
House with a birdhouse																						axr					chc5252000045		chc52520000450005001					image/tiff	150032304 Bytes	8099	6174	864807670	RGB	8	600	chc52520000450005001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1045	1045	1046.jp2	/chc5252/image/1046.jp2
Escuela de faros, Habana	Lighthouse school, Havana																					axr					chc5252000045		chc52520000450006001					image/tiff	148733768 Bytes	8121	6104	3794442520	RGB	8	600	chc52520000450006001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1046	1046	1047.jp2	/chc5252/image/1047.jp2
Vista de La Habana tomada desde el pescante	View of Havana taken from a boat davit																					axr					chc5252000045		chc52520000450007001					image/tiff	147576936 Bytes	8079	6088	3439358444	RGB	8	600	chc52520000450007001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1047	1047	1048.jp2	/chc5252/image/1048.jp2
Paseo del Prado, Havana					Written on front: "Paseo del Prado, Habana, vista tomada desde el ____ ____ frente al Presidio"																	axr					chc5252000045		chc52520000450008001					image/tiff	148879100 Bytes	8076	6144	559776826	RGB	8	600	chc52520000450008001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1048	1048	1049.jp2	/chc5252/image/1049.jp2
Isabell II monument at Paseo del Prado, Havana					Written on front: "Salon de Y 2a en el paseo del Prado, Habana"																						chc5252000045		chc52520000450009001					image/tiff	150332000 Bytes	8089	6194	816889436	RGB	8	600	chc52520000450009001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1049	1049	1050.jp2	/chc5252/image/1050.jp2
Teatro de Tacón, Habana	Tacón Theater, Havana																										chc5252000045		chc52520000450010001					image/tiff	148753716 Bytes	8085	6132	2338343672	RGB	8	600	chc52520000450010001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1050	1050	1051.jp2	/chc5252/image/1051.jp2
