Title	Translated Title	CTDA Link	Creator	Photographer	Costume Designer	Set Designer	Poster Designer	Production Title	Play Title	Note	Genre	Subject	Publisher	Date	Theater Venue	Theater Company	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Summary	Copyright	Object ID	Digital ID	Type	Date Digital	Format	Hardware	Software	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
"Chin de Plata" Award,  1979				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Awards; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005970001001	Image		image/tiff			22963968 Bytes	2297	3329	4178945200	RGB	8	2400	chc52770005970001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/0	0	54.jp2	/chc5277/image/54.jp2
Scene from the production, "Memorias de un director"	Scene from the production, "Memoirs of a director"			Torres, Asela				Memorias de un director		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005680001001	Image		image/tiff			24879124 Bytes	3541	2340	3732384300	RGB	8	2400	chc52770005680001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/1	1	25.jp2	/chc5277/image/25.jp2
Scene from the production, "Memorias de un director"	Scene from the production, "Memoirs of a director"			Torres, Asela				Memorias de un director		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005700001001	Image		image/tiff			25955468 Bytes	3699	2337	1795074150	RGB	8	2400	chc52770005700001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/2	2	65.jp2	/chc5277/image/65.jp2
Scene from the production, "Grateli cuenta su historia"	Scene from the production, "Grateli tells its history"			Torres, Asela				Grateli cuenta su historia		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1975			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006020001001	Image		image/tiff			22803040 Bytes	3402	2232	3661651337	RGB	8	2400	chc52770006020001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/3	3	31.jp2	/chc5277/image/31.jp2
Scene from the production, "Picardías de madrugada"	Scene from the production, "Mischevious at night"			Torres, Asela				Picardías de madrugada		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006100001001	Image		image/tiff			23158996 Bytes	3366	2291	1226951339	RGB	8	2400	chc52770006100001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/4	4	34.jp2	/chc5277/image/34.jp2
Nati Mistral				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Mistral, Nati; Actors; Theatrical productions; Performing arts -- Florida -- Miami		1976			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005620001001	Image		image/tiff			24879960 Bytes	3606	2298	1609407835	RGB	8	2400	chc52770005620001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/5	5	53.jp2	/chc5277/image/53.jp2
Scene from the production, "Grease"				Torres, Asela				Grease		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1975			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005770001001	Image		image/tiff			23037172 Bytes	3369	2277	3966472335	RGB	8	2400	chc52770005770001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/6	6	37.jp2	/chc5277/image/37.jp2
Scene from the production, "Electra Garrigó"				Torres, Asela				Electrica Garrigó		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006200001001	Image		image/tiff			22407240 Bytes	3387	2203	2289823675	RGB	8	2400	chc52770006200001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/7	7	68.jp2	/chc5277/image/68.jp2
Scene from the production, "Drácula"	Scene from the production, "Dracula"			Torres, Asela				Drácula		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006140001001	Image		image/tiff			20449464 Bytes	3215	2118	2705769490	RGB	8	2400	chc52770006140001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/8	8	75.jp2	/chc5277/image/75.jp2
"A.C.C.A." Awards,  1977				Torres, Asela						Association of Critics and Commentators of the Arts, Inc.  This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Awards; Performing arts -- Florida -- Miami		1977			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005820001001	Image		image/tiff			22631928 Bytes	3363	2241	3646860219	RGB	8	2400	chc52770005820001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/9	9	52.jp2	/chc5277/image/52.jp2
