Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																											chc5279000041						chc52790000410001001		64895180 Bytes	5029	4300	4011405741	RGB	8	600	chc52790000410001001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5279/id/0	0	36.jp2	/chc5279/image/36.jp2
Page 2																											chc5279000041						chc52790000410002001		64855340 Bytes	5026	4300	3659823535	RGB	8	600	chc52790000410002001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5279/id/1	1	37.jp2	/chc5279/image/37.jp2
Partagás cigar box label						Tobacco industry -- Cuba -- History; Cigar bands and labels -- Cuba -- History	Tobacco package labels					1 photomechanical print	fre; spa		University of Miami Libraries. Cuban Heritage Collection	Tobacco Art Collection	CHC5279		Box No. 1; Folder No. 41; Folder Title: Trademark: Partagás			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5279000041	Image						image/tiff										2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5279/id/2	2	38.cpd	/chc5279/image/38.cpd
Page 1																											chc5279000002						chc52790000020001001		8952784 Bytes	2910	1023	2059649723	RGB	8	800	chc52790000020001001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5279/id/3	3	39.jp2	/chc5279/image/39.jp2
Page 2																											chc5279000002						chc52790000020002001		5021388 Bytes	2350	709	1407575028	RGB	8	800	chc52790000020002001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5279/id/4	4	40.jp2	/chc5279/image/40.jp2
Page 3																											chc5279000002						chc52790000020003001		3507576 Bytes	2125	547	2015173150	RGB	8	800	chc52790000020003001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5279/id/5	5	41.jp2	/chc5279/image/41.jp2
Page 4																											chc5279000002						chc52790000020004001		5803988 Bytes	2536	760	245474356	RGB	8	800	chc52790000020004001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5279/id/6	6	42.jp2	/chc5279/image/42.jp2
Page 5																											chc5279000002						chc52790000020005001		5196400 Bytes	2386	723	2940542097	RGB	8	800	chc52790000020005001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5279/id/7	7	43.jp2	/chc5279/image/43.jp2
Page 6																											chc5279000002						chc52790000020006001		4592236 Bytes	2291	665	2228105233	RGB	8	800	chc52790000020006001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5279/id/8	8	44.jp2	/chc5279/image/44.jp2
Page 7																											chc5279000002						chc52790000020007001		4749372 Bytes	2388	660	2947886349	RGB	8	800	chc52790000020007001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5279/id/9	9	45.jp2	/chc5279/image/45.jp2
